arxiv_id,title,abstract,authors,published_date,categories,pdf_url,query,abstract_length,year
2505.13457v1,Tuning Learning Rates with the Cumulative-Learning Constant,"This paper introduces a novel method for optimizing learning rates in machine learning. A previously unrecognized proportionality between learning rates and dataset sizes is discovered, providing valuable insights into how dataset scale influences training dynamics. Additionally, a cumulative learning constant is identified, offering a framework for designing and optimizing advanced learning rate schedules. These findings have the potential to enhance training efficiency and performance across a wide range of machine learning applications.",Nathan Faraj,2025-04-30,cs.LG,http://arxiv.org/pdf/2505.13457v1,machine learning,545,2025
2011.11819v1,When Machine Learning Meets Privacy: A Survey and Outlook,"The newly emerged machine learning (e.g. deep learning) methods have become a strong driving force to revolutionize a wide range of industries, such as smart healthcare, financial technology, and surveillance systems. Meanwhile, privacy has emerged as a big concern in this machine learning-based artificial intelligence era. It is important to note that the problem of privacy preservation in the context of machine learning is quite different from that in traditional data privacy protection, as machine learning can act as both friend and foe. Currently, the work on the preservation of privacy and machine learning (ML) is still in an infancy stage, as most existing solutions only focus on privacy problems during the machine learning process. Therefore, a comprehensive study on the privacy preservation problems and machine learning is required. This paper surveys the state of the art in privacy issues and solutions for machine learning. The survey covers three categories of interactions between privacy and machine learning: (i) private machine learning, (ii) machine learning aided privacy protection, and (iii) machine learning-based privacy attack and corresponding protection schemes. The current research progress in each category is reviewed and the key challenges are identified. Finally, based on our in-depth analysis of the area of privacy and machine learning, we point out future research directions in this field.","Bo Liu, Ming Ding, Sina Shaham, Wenny Rahayu, Farhad Farokhi, Zihuai Lin",2020-11-24,"cs.LG, cs.AI, cs.CR",http://arxiv.org/pdf/2011.11819v1,machine learning,1437,2020
2009.11087v1,Probabilistic Machine Learning for Healthcare,"Machine learning can be used to make sense of healthcare data. Probabilistic machine learning models help provide a complete picture of observed data in healthcare. In this review, we examine how probabilistic machine learning can advance healthcare. We consider challenges in the predictive model building pipeline where probabilistic models can be beneficial including calibration and missing data. Beyond predictive models, we also investigate the utility of probabilistic machine learning models in phenotyping, in generative models for clinical use cases, and in reinforcement learning.","Irene Y. Chen, Shalmali Joshi, Marzyeh Ghassemi, Rajesh Ranganath",2020-09-23,"stat.ML, cs.CY, cs.LG",http://arxiv.org/pdf/2009.11087v1,machine learning,591,2020
2303.18087v1,Evaluation Challenges for Geospatial ML,"As geospatial machine learning models and maps derived from their predictions are increasingly used for downstream analyses in science and policy, it is imperative to evaluate their accuracy and applicability. Geospatial machine learning has key distinctions from other learning paradigms, and as such, the correct way to measure performance of spatial machine learning outputs has been a topic of debate. In this paper, I delineate unique challenges of model evaluation for geospatial machine learning with global or remotely sensed datasets, culminating in concrete takeaways to improve evaluations of geospatial model performance.",Esther Rolf,2023-03-31,"cs.LG, stat.ML",http://arxiv.org/pdf/2303.18087v1,machine learning,633,2023
2401.11351v2,A comprehensive review of Quantum Machine Learning: from NISQ to Fault Tolerance,"Quantum machine learning, which involves running machine learning algorithms on quantum devices, has garnered significant attention in both academic and business circles. In this paper, we offer a comprehensive and unbiased review of the various concepts that have emerged in the field of quantum machine learning. This includes techniques used in Noisy Intermediate-Scale Quantum (NISQ) technologies and approaches for algorithms compatible with fault-tolerant quantum computing hardware. Our review covers fundamental concepts, algorithms, and the statistical learning theory pertinent to quantum machine learning.","Yunfei Wang, Junyu Liu",2024-01-21,"quant-ph, cs.AI, cs.LG, stat.ML",http://arxiv.org/pdf/2401.11351v2,machine learning,616,2024
2004.00993v2,Augmented Q Imitation Learning (AQIL),"The study of unsupervised learning can be generally divided into two categories: imitation learning and reinforcement learning. In imitation learning the machine learns by mimicking the behavior of an expert system whereas in reinforcement learning the machine learns via direct environment feedback. Traditional deep reinforcement learning takes a significant time before the machine starts to converge to an optimal policy. This paper proposes Augmented Q-Imitation-Learning, a method by which deep reinforcement learning convergence can be accelerated by applying Q-imitation-learning as the initial training process in traditional Deep Q-learning.","Xiao Lei Zhang, Anish Agarwal",2020-03-31,"cs.LG, cs.AI",http://arxiv.org/pdf/2004.00993v2,machine learning,651,2020
2003.05155v2,Towards CRISP-ML(Q): A Machine Learning Process Model with Quality Assurance Methodology,"Machine learning is an established and frequently used technique in industry and academia but a standard process model to improve success and efficiency of machine learning applications is still missing. Project organizations and machine learning practitioners have a need for guidance throughout the life cycle of a machine learning application to meet business expectations. We therefore propose a process model for the development of machine learning applications, that covers six phases from defining the scope to maintaining the deployed machine learning application. The first phase combines business and data understanding as data availability oftentimes affects the feasibility of the project. The sixth phase covers state-of-the-art approaches for monitoring and maintenance of a machine learning applications, as the risk of model degradation in a changing environment is eminent. With each task of the process, we propose quality assurance methodology that is suitable to adress challenges in machine learning development that we identify in form of risks. The methodology is drawn from practical experience and scientific literature and has proven to be general and stable. The process model expands on CRISP-DM, a data mining process model that enjoys strong industry support but lacks to address machine learning specific tasks. Our work proposes an industry and application neutral process model tailored for machine learning applications with focus on technical tasks for quality assurance.","Stefan Studer, Thanh Binh Bui, Christian Drescher, Alexander Hanuschkin, Ludwig Winkler, Steven Peters, Klaus-Robert Mueller",2020-03-11,"cs.LG, cs.SE, stat.ML",http://arxiv.org/pdf/2003.05155v2,machine learning,1506,2020
1706.08001v1,Temporal-related Convolutional-Restricted-Boltzmann-Machine capable of learning relational order via reinforcement learning procedure?,"In this article, we extend the conventional framework of convolutional-Restricted-Boltzmann-Machine to learn highly abstract features among abitrary number of time related input maps by constructing a layer of multiplicative units, which capture the relations among inputs. In many cases, more than two maps are strongly related, so it is wise to make multiplicative unit learn relations among more input maps, in other words, to find the optimal relational-order of each unit. In order to enable our machine to learn relational order, we developed a reinforcement-learning method whose optimality is proven to train the network.",Zizhuang Wang,2017-06-24,"cs.AI, cs.LG, stat.ML",http://arxiv.org/pdf/1706.08001v1,machine learning,629,2017
2405.03720v1,Spatial Transfer Learning with Simple MLP,First step to investigate the potential of transfer learning applied to the field of spatial statistics,Hongjian Yang,2024-05-05,"cs.LG, stat.ME, stat.ML",http://arxiv.org/pdf/2405.03720v1,machine learning,103,2024
1207.4676v2,Proceedings of the 29th International Conference on Machine Learning (ICML-12),"This is an index to the papers that appear in the Proceedings of the 29th International Conference on Machine Learning (ICML-12). The conference was held in Edinburgh, Scotland, June 27th - July 3rd, 2012.","John Langford, Joelle Pineau",2012-07-19,"cs.LG, stat.ML",http://arxiv.org/pdf/1207.4676v2,machine learning,205,2012
1603.02185v1,Distributed Multi-Task Learning with Shared Representation,"We study the problem of distributed multi-task learning with shared representation, where each machine aims to learn a separate, but related, task in an unknown shared low-dimensional subspaces, i.e. when the predictor matrix has low rank. We consider a setting where each task is handled by a different machine, with samples for the task available locally on the machine, and study communication-efficient methods for exploiting the shared structure.","Jialei Wang, Mladen Kolar, Nathan Srebro",2016-03-07,"cs.LG, stat.ML",http://arxiv.org/pdf/1603.02185v1,machine learning,451,2016
1910.12387v2,Components of Machine Learning: Binding Bits and FLOPS,"Many machine learning problems and methods are combinations of three components: data, hypothesis space and loss function. Different machine learning methods are obtained as combinations of different choices for the representation of data, hypothesis space and loss function. After reviewing the mathematical structure of these three components, we discuss intrinsic trade-offs between statistical and computational properties of machine learning methods.",Alexander Jung,2019-10-25,cs.LG,http://arxiv.org/pdf/1910.12387v2,machine learning,455,2019
2007.05479v1,Impact of Legal Requirements on Explainability in Machine Learning,"The requirements on explainability imposed by European laws and their implications for machine learning (ML) models are not always clear. In that perspective, our research analyzes explanation obligations imposed for private and public decision-making, and how they can be implemented by machine learning techniques.","Adrien Bibal, Michael Lognoul, Alexandre de Streel, Benoît Frénay",2020-07-10,"cs.AI, cs.CY, cs.LG",http://arxiv.org/pdf/2007.05479v1,machine learning,316,2020
2007.14206v1,Machine Learning Potential Repository,"This paper introduces a machine learning potential repository that includes Pareto optimal machine learning potentials. It also shows the systematic development of accurate and fast machine learning potentials for a wide range of elemental systems. As a result, many Pareto optimal machine learning potentials are available in the repository from a website. Therefore, the repository will help many scientists to perform accurate and fast atomistic simulations.",Atsuto Seko,2020-07-27,"physics.comp-ph, cond-mat.mtrl-sci, physics.chem-ph, physics.data-an",http://arxiv.org/pdf/2007.14206v1,machine learning,461,2020
2412.18979v1,Quantum memristors for neuromorphic quantum machine learning,"Quantum machine learning may permit to realize more efficient machine learning calculations with near-term quantum devices. Among the diverse quantum machine learning paradigms which are currently being considered, quantum memristors are promising as a way of combining, in the same quantum hardware, a unitary evolution with the nonlinearity provided by the measurement and feedforward. Thus, an efficient way of deploying neuromorphic quantum computing for quantum machine learning may be enabled.",Lucas Lamata,2024-12-25,"quant-ph, cs.NE",http://arxiv.org/pdf/2412.18979v1,machine learning,499,2024
2509.18071v2,"Learning functions, operators and dynamical systems with kernels","This expository article presents the approach to statistical machine learning based on reproducing kernel Hilbert spaces. The basic framework is introduced for scalar-valued learning and then extended to operator learning. Finally, learning dynamical systems is formulated as a suitable operator learning problem, leveraging Koopman operator theory. The manuscript collects the supporting material for the corresponding course taught at the CIME school ""Machine Learning: From Data to Mathematical Understanding"" in Cetraro.",Lorenzo Rosasco,2025-09-22,cs.LG,http://arxiv.org/pdf/2509.18071v2,machine learning,524,2025
1908.04710v3,metric-learn: Metric Learning Algorithms in Python,"metric-learn is an open source Python package implementing supervised and weakly-supervised distance metric learning algorithms. As part of scikit-learn-contrib, it provides a unified interface compatible with scikit-learn which allows to easily perform cross-validation, model selection, and pipelining with other machine learning estimators. metric-learn is thoroughly tested and available on PyPi under the MIT licence.","William de Vazelhes, CJ Carey, Yuan Tang, Nathalie Vauquier, Aurélien Bellet",2019-08-13,"cs.LG, stat.ML",http://arxiv.org/pdf/1908.04710v3,machine learning,422,2019
2002.12364v1,Theoretical Models of Learning to Learn,"A Machine can only learn if it is biased in some way. Typically the bias is supplied by hand, for example through the choice of an appropriate set of features. However, if the learning machine is embedded within an {\em environment} of related tasks, then it can {\em learn} its own bias by learning sufficiently many tasks from the environment. In this paper two models of bias learning (or equivalently, learning to learn) are introduced and the main theoretical results presented. The first model is a PAC-type model based on empirical process theory, while the second is a hierarchical Bayes model.",Jonathan Baxter,2020-02-27,"cs.LG, stat.ML",http://arxiv.org/pdf/2002.12364v1,machine learning,602,2020
1607.01400v1,An Aggregate and Iterative Disaggregate Algorithm with Proven Optimality in Machine Learning,"We propose a clustering-based iterative algorithm to solve certain optimization problems in machine learning, where we start the algorithm by aggregating the original data, solving the problem on aggregated data, and then in subsequent steps gradually disaggregate the aggregated data. We apply the algorithm to common machine learning problems such as the least absolute deviation regression problem, support vector machines, and semi-supervised support vector machines. We derive model-specific data aggregation and disaggregation procedures. We also show optimality, convergence, and the optimality gap of the approximated solution in each iteration. A computational study is provided.","Young Woong Park, Diego Klabjan",2016-07-05,"stat.ML, cs.LG",http://arxiv.org/pdf/1607.01400v1,machine learning,688,2016
2202.10564v1,Human-in-the-loop Machine Learning: A Macro-Micro Perspective,"Though technical advance of artificial intelligence and machine learning has enabled many promising intelligent systems, many computing tasks are still not able to be fully accomplished by machine intelligence. Motivated by the complementary nature of human and machine intelligence, an emerging trend is to involve humans in the loop of machine learning and decision-making. In this paper, we provide a macro-micro review of human-in-the-loop machine learning. We first describe major machine learning challenges which can be addressed by human intervention in the loop. Then we examine closely the latest research and findings of introducing humans into each step of the lifecycle of machine learning. Finally, we analyze current research gaps and point out future research directions.","Jiangtao Wang, Bin Guo, Liming Chen",2022-02-21,cs.HC,http://arxiv.org/pdf/2202.10564v1,machine learning,787,2022
2407.05526v1,Can Machines Learn the True Probabilities?,"When there exists uncertainty, AI machines are designed to make decisions so as to reach the best expected outcomes. Expectations are based on true facts about the objective environment the machines interact with, and those facts can be encoded into AI models in the form of true objective probability functions. Accordingly, AI models involve probabilistic machine learning in which the probabilities should be objectively interpreted. We prove under some basic assumptions when machines can learn the true objective probabilities, if any, and when machines cannot learn them.",Jinsook Kim,2024-07-08,"cs.LG, cs.AI, stat.ML",http://arxiv.org/pdf/2407.05526v1,machine learning,577,2024
1509.00913v3,On-the-Fly Learning in a Perpetual Learning Machine,"Despite the promise of brain-inspired machine learning, deep neural networks (DNN) have frustratingly failed to bridge the deceptively large gap between learning and memory. Here, we introduce a Perpetual Learning Machine; a new type of DNN that is capable of brain-like dynamic 'on the fly' learning because it exists in a self-supervised state of Perpetual Stochastic Gradient Descent. Thus, we provide the means to unify learning and memory within a machine learning framework. We also explore the elegant duality of abstraction and synthesis: the Yin and Yang of deep learning.",Andrew J. R. Simpson,2015-09-03,"cs.LG, 68Txx",http://arxiv.org/pdf/1509.00913v3,machine learning,581,2015
2110.12773v1,Scientific Machine Learning Benchmarks,"The breakthrough in Deep Learning neural networks has transformed the use of AI and machine learning technologies for the analysis of very large experimental datasets. These datasets are typically generated by large-scale experimental facilities at national laboratories. In the context of science, scientific machine learning focuses on training machines to identify patterns, trends, and anomalies to extract meaningful scientific insights from such datasets. With a new generation of experimental facilities, the rate of data generation and the scale of data volumes will increasingly require the use of more automated data analysis. At present, identifying the most appropriate machine learning algorithm for the analysis of any given scientific dataset is still a challenge for scientists. This is due to many different machine learning frameworks, computer architectures, and machine learning models. Historically, for modelling and simulation on HPC systems such problems have been addressed through benchmarking computer applications, algorithms, and architectures. Extending such a benchmarking approach and identifying metrics for the application of machine learning methods to scientific datasets is a new challenge for both scientists and computer scientists. In this paper, we describe our approach to the development of scientific machine learning benchmarks and review other approaches to benchmarking scientific machine learning.","Jeyan Thiyagalingam, Mallikarjun Shankar, Geoffrey Fox, Tony Hey",2021-10-25,"cs.LG, physics.comp-ph, I.2",http://arxiv.org/pdf/2110.12773v1,machine learning,1445,2021
2001.09608v1,Some Insights into Lifelong Reinforcement Learning Systems,"A lifelong reinforcement learning system is a learning system that has the ability to learn through trail-and-error interaction with the environment over its lifetime. In this paper, I give some arguments to show that the traditional reinforcement learning paradigm fails to model this type of learning system. Some insights into lifelong reinforcement learning are provided, along with a simplistic prototype lifelong reinforcement learning system.",Changjian Li,2020-01-27,"cs.LG, stat.ML",http://arxiv.org/pdf/2001.09608v1,machine learning,449,2020
